Year,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot.1,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C.1,GWE_C_NC.1,GWE_PQ.1,GWE_Tot.1,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR.1,UCA_SL.1,CFA_FR,CFA_SL,CFA_FR.1,CFA_SL.1,CFA_FR.2,CFA_SL.2,CFA_FR.3,CFA_SL.3,CFA_FR.4,CFA_SL.4,CFA_FR.5,CFA_SL.5,TGAH_FR,TGAH_SL
2024-25,11,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,NA,3996.1,NA,3996.1,NA,120000.0,NA,120000.0,270000.0,390000.0,NA,77315.63,NA,77315.63,NA,NA,NA,NA,NA,2235.729,NA,2235.73,NA,74.13,NA,74.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79625.49,NA,79625.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79625.49,NA,79625.49,NA,7962.55,NA,7962.55,NA,71662.94,NA,71662.94,NA,31.620995725,NA,31.620995725,NA,NA,NA,NA,NA,216.5,NA,216.5,NA,248.13,NA,248.13,NA,0.346245911764156,NA,0.346245911764156,NA,34.28,NA,34.28,NA,71412.15,NA,71412.15,NA,NA,NA,NA,NA,NA,NA,1519.776,NA,NA,NA,NA,NA,NA,NA,71662.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71662.94,NA
2024-25,12,ARUNACHAL PRADESH,LOWER SUBANSIRI,NA,1444.4,NA,1444.4,NA,10135.0,NA,10135.0,340665.0,350800.0,NA,2643.04,NA,2643.04,NA,NA,NA,NA,NA,2591.3475,NA,2591.35,NA,7.05,NA,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5241.44,NA,5241.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.75,NA,231.75,NA,NA,NA,NA,NA,-231.75,NA,-231.75,NA,5009.69,NA,5009.69,NA,524.15,NA,524.15,NA,4485.54,NA,4485.54,NA,22.949197975,NA,22.949197975,NA,NA,NA,NA,NA,16.83,NA,16.83,NA,39.79,NA,39.79,NA,0.887072682441802,NA,0.887072682441802,NA,43.11,NA,43.11,NA,4425.59,NA,4425.59,NA,NA,NA,NA,NA,NA,8164.97333716,NA,NA,NA,NA,NA,NA,NA,NA,4485.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4485.54,NA
2024-25,13,ARUNACHAL PRADESH,PAPUM PARE,NA,3199.6,NA,3199.6,NA,17819.0,NA,17819.0,328381.0,346200.0,NA,9018.4,NA,9018.4,NA,NA,NA,NA,NA,3283.101,NA,3283.09,NA,5.96,NA,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12307.44,NA,12307.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325.18,NA,325.18,NA,1158.28,NA,1158.28,NA,NA,NA,NA,NA,-1483.46,NA,-1483.46,NA,10823.98,NA,10823.98,NA,1230.75,NA,1230.75,NA,9593.23,NA,9593.23,NA,108.02722865,NA,108.02722865,NA,25.29,NA,25.29,NA,15.36,NA,15.36,NA,148.68,NA,148.68,NA,1.54984296217228,NA,1.54984296217228,NA,190.73,NA,190.73,NA,9361.85,NA,9361.85,NA,NA,NA,NA,NA,NA,6968.291028328,386.1,NA,NA,NA,NA,NA,NA,NA,9593.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9593.23,NA
2024-25,14,ARUNACHAL PRADESH,TAWANG,NA,NA,NA,NA,NA,NA,NA,NA,217200.0,217200.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-25,15,ARUNACHAL PRADESH,TIRAP,NA,2907.3,NA,2907.3,NA,12500.0,NA,12500.0,223700.0,236200.0,NA,6396.06,NA,6396.06,NA,NA,NA,NA,NA,2269.398,NA,2269.39,NA,2.47,NA,2.47,NA,1.03,NA,1.03,NA,0.023,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,8668.97,NA,8668.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8668.97,NA,8668.97,NA,866.9,NA,866.9,NA,7802.07,NA,7802.07,NA,49.293620475,NA,49.293620475,NA,NA,NA,NA,NA,6.25,NA,6.25,NA,55.54,NA,55.54,NA,0.711862364731411,NA,0.711862364731411,NA,56.2,NA,56.2,NA,7739.62,NA,7739.62,NA,NA,NA,NA,NA,NA,101.640041512,134.0928,NA,NA,NA,NA,NA,NA,NA,7802.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7802.07,NA
2024-25,16,ARUNACHAL PRADESH,UPPER SIANG,NA,NA,NA,NA,NA,NA,NA,NA,659000.0,659000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-25,17,ARUNACHAL PRADESH,UPPER SUBANSIRI,NA,1735.4,NA,1735.4,NA,700.0,NA,700.0,702500.0,703200.0,NA,213.79,NA,213.79,NA,NA,NA,NA,NA,2480.046,NA,2480.05,NA,5.94,NA,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2699.78,NA,2699.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2699.78,NA,2699.78,NA,269.97,NA,269.97,NA,2429.81,NA,2429.81,NA,3.73278565,NA,3.73278565,NA,0.9,NA,0.9,NA,16.64,NA,16.64,NA,21.28,NA,21.28,NA,0.875788641910273,NA,0.875788641910273,NA,7.2,NA,7.2,NA,2405.06,NA,2405.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2429.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2429.81,NA
2024-25,18,ARUNACHAL PRADESH,WEST KAMENG,NA,2388.7,NA,2388.7,NA,6175.0,NA,6175.0,736025.0,742200.0,NA,2596.03,NA,2596.03,NA,NA,NA,NA,NA,755.57448,NA,755.58,NA,0.53,NA,0.53,NA,NA,NA,NA,NA,0.122,NA,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,3352.26,NA,3352.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3352.26,NA,3352.26,NA,335.22,NA,335.22,NA,3017.04,NA,3017.04,NA,11.52654305,NA,11.52654305,NA,NA,NA,NA,NA,1.64,NA,1.64,NA,13.15,NA,13.15,NA,0.435857661814229,NA,0.435857661814229,NA,13.29,NA,13.29,NA,3002.13,NA,3002.13,NA,NA,NA,NA,NA,NA,NA,4.464,NA,NA,NA,NA,NA,NA,NA,3017.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3017.04,NA
2024-25,19,ARUNACHAL PRADESH,WEST SIANG,NA,2891.9,NA,2891.9,NA,10459.0,NA,10459.0,822041.0,832500.0,NA,5323.37,NA,5323.37,NA,NA,NA,NA,NA,874.083,NA,874.08,NA,1.65,NA,1.65,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6199.6,NA,6199.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6199.6,NA,6199.6,NA,619.96,NA,619.96,NA,5579.64,NA,5579.64,NA,2.370355625,NA,2.370355625,NA,1.18,NA,1.18,NA,4.46,NA,4.46,NA,8.01,NA,8.01,NA,0.143557648880573,NA,0.143557648880573,NA,2.59,NA,2.59,NA,5571.4,NA,5571.4,NA,NA,NA,NA,NA,NA,NA,2.96748,NA,NA,NA,NA,NA,NA,NA,5579.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5579.64,NA
2024-25,20,ASSAM,BAKSA,NA,3274.6,NA,3274.6,NA,244873.01,NA,244873.01,1382.99,246256.0,NA,125545.14,NA,125545.14,NA,NA,NA,NA,NA,9554.5698,NA,9554.57,NA,970.78,NA,970.78,NA,3910.14,NA,3910.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139980.63,NA,139980.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2422.74,NA,2422.74,NA,NA,NA,NA,NA,-2422.74,NA,-2422.74,NA,137557.89,NA,137557.89,NA,12987.38,NA,12987.38,NA,124570.51,NA,124570.51,NA,2014.11223869928,NA,2014.11223869928,NA,3.16305,NA,3.16305,NA,2464.02,NA,2464.02,NA,4481.3,NA,4481.3,NA,3.59740037991335,NA,3.59740037991335,NA,2272.88,NA,2272.88,NA,119830.44,NA,119830.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800730.98,NA,1925301.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925301.49,NA
