YEAR,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot.1,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C.1,GWE_C_NC.1,GWE_PQ.1,GWE_Tot.1,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR.1,UCA_SL.1,CFA_FR,CFA_SL,CFA_FR.1,CFA_SL.1,CFA_FR.2,CFA_SL.2,CFA_FR.3,CFA_SL.3,CFA_FR.4,CFA_SL.4,CFA_FR.5,CFA_SL.5,TGAH_FR,TGAH_SL
2022-2023,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,NA,3015.7,NA,3015.7,NA,58040.0,NA,58040.0,286106.0,344146.0,NA,16376.36,NA,16376.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06,NA,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16388.420000000002,NA,16388.420000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16388.420000000002,NA,16388.420000000002,NA,1638.86,NA,1638.86,NA,14749.56,NA,14749.56,NA,254.90632749999997,NA,254.90632749999997,NA,83.244524676865,NA,83.244524676865,NA,0.804,NA,0.804,NA,338.96,NA,338.96,NA,2.2981024518697506,NA,2.2981024518697506,NA,269.19,NA,269.19,NA,14396.32,NA,14396.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14749.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14749.56,NA
2022-2023,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NA,2805.2,2805.1999999999994,2805.2,NA,121615.0,828.0,122443.0,71723.0,194166.0,NA,34663.159999999996,348.4,35011.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34664.36,348.4,35012.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34664.36,348.4,35012.76,NA,3466.4399999999996,34.84,3501.2799999999997,NA,31197.920000000006,313.56,31511.480000000003,NA,85.876835,3.0654525,88.94228749999999,NA,0.9457227945205459,NA,0.9457227945205459,NA,0.253,NA,0.253,NA,87.04,3.0700000000000003,90.11,NA,0.27899295850492595,0.9790789641535911,0.2789929585049259,NA,90.68,3.24,90.68,NA,31106.070000000003,310.32,31106.070000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31197.92,313.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31197.92,313.56
2022-2023,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,NA,3015.7,NA,3015.7,NA,31524.0,NA,31524.0,215321.0,246845.0,NA,10777.26,NA,10777.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.88,NA,12.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10790.140000000001,NA,10790.140000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10790.140000000001,NA,10790.140000000001,NA,1079.0000000000002,NA,1079.0000000000002,NA,9711.140000000001,NA,9711.140000000001,NA,314.04125500000004,NA,314.04125500000004,NA,13.6100975,NA,13.6100975,NA,10.647,NA,10.647,NA,338.28,NA,338.28,NA,3.483422131696175,NA,3.483422131696175,NA,331.62,NA,331.62,NA,9355.28,NA,9355.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9711.140000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9711.140000000001,NA
2022-2023,4,ANDHRA PRADESH,Alluri Sitharama Raju,NA,1306.5188450740598,NA,1306.5188450740598,NA,639234.6759947998,NA,639234.6759947998,586107.7108381618,1225342.3868329613,NA,43318.79,NA,43318.79,NA,NA,NA,NA,NA,46953.07000000001,NA,46953.07000000001,NA,10.649999999999999,NA,10.649999999999999,NA,68.13,NA,68.13,NA,3170.2019999999993,NA,3170.2019999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,93520.37,NA,93520.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93520.37,NA,93520.37,NA,4676.5199999999995,NA,4676.5199999999995,NA,88843.84999999996,NA,88843.84999999996,NA,1629.760806,NA,1629.760806,NA,NA,NA,NA,NA,577.316,NA,577.316,NA,2208.25,NA,2208.25,NA,2.485540642374234,NA,2.485540642374234,NA,1810.5600000000002,NA,1810.5600000000002,NA,86679.17,NA,86679.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88843.84999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88843.84999999996,NA
2022-2023,5,ANDHRA PRADESH,Anakapalli,1127.8227373387253,1162.753521332215,NA,1156.4609392393227,62316.0,283606.65992,NA,345922.65992,83322.41,429245.06992,6052.500000000001,31069.120000000006,NA,37121.619999999995,1895.75,NA,15.18,1910.9299999999998,17671.25,13219.77,NA,30891.02,844.2500000000001,2721.54,NA,3565.790000000001,413.49,1700.5299999999995,NA,2114.0199999999995,1072.288,3468.4280000000003,NA,4540.716,NA,NA,NA,NA,NA,NA,NA,NA,27962.78,52179.50999999999,15.18,80157.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27962.78,52179.50999999999,15.18,80157.47,1398.17,2609.38,0.76,4008.2899999999995,26564.609999999997,49570.12999999999,14.42,76149.16,999.1202040000001,3899.4267599999994,NA,4898.546964000001,37.296,435.25739999999996,NA,472.5534,3415.8018913999995,11538.0714437,NA,14953.873335099997,4452.290000000001,15872.889999999998,NA,20325.179999999997,16.76023099906229,32.02107801613593,NA,26.696328115128516,1175.7000000000003,4588.3600000000015,NA,5764.0599999999995,22245.73,33517.17,14.42,55762.899999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219351.8800000001,NA,1295486.5199999998,14.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295486.5199999998,14.42
2022-2023,6,ANDHRA PRADESH,Ananthapuramu,513.726716720963,515.4758717065273,NA,515.0271560668946,242803.0,703676.3300000001,NA,946479.3300000001,97831.67,1044311.0,10637.450000000003,31553.83,NA,42191.28,3375.71,NA,NA,3375.71,9444.979999999998,1041.12,NA,10486.100000000002,2757.43,4900.489999999999,NA,7657.92,1425.4299999999998,4081.0399999999995,NA,5506.469999999999,13058.940000000002,41034.50000000001,NA,54093.44000000002,NA,NA,NA,NA,NA,NA,NA,NA,40699.770000000004,82610.95999999996,NA,123310.72999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40699.770000000004,82610.95999999996,NA,123310.72999999998,2035.07,4130.71,NA,6165.779999999999,38664.7,78480.25,NA,117144.95,887.46138,2701.4668019999995,NA,3588.9281819999997,61.2,454.392,NA,515.592,10803.0061642,24077.770568400003,NA,34880.77673260001,11751.680000000002,27233.879999999997,NA,38985.55999999999,30.393821754727192,34.70157141446414,NA,33.27976152621175,1333.49,3400.36,NA,4733.850000000002,26556.760000000002,50940.159999999996,NA,77496.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117144.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117144.95,NA
2022-2023,7,ANDHRA PRADESH,Annamayya,764.4086622875425,744.3968663957232,NA,747.7678588908607,112199.0,553867.0,NA,666066.0,128462.0,794528.0,7479.21,39777.71,NA,47256.919999999984,28.889999999999997,NA,NA,28.889999999999997,73.71,972.3,NA,1046.01,1680.7500000000002,9637.820000000002,NA,11318.570000000002,1775.3400000000001,6152.500000000002,NA,7927.84,2346.15,19127.252000000004,NA,21473.402000000006,NA,NA,NA,NA,NA,NA,NA,NA,13384.050000000003,75667.81000000003,NA,89051.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13384.050000000003,75667.81000000003,NA,89051.86,669.24,3783.4799999999996,NA,4452.719999999999,12714.810000000003,71884.32999999999,NA,84599.14,794.14,2578.571375,NA,3372.7113750000008,NA,137.74800000000002,NA,137.74800000000002,5269.797499289153,32648.089035669058,NA,37917.88653495822,6063.959999999999,35364.44,NA,41428.4,47.69210078640575,49.196313021210614,NA,48.97023775891812,794.15,4219.759999999999,NA,5013.91,6650.849999999999,35214.94,NA,41865.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84599.13999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84599.13999999998,NA
2022-2023,8,ANDHRA PRADESH,Bapatla,894.7267975447967,924.7060543444571,906.3694832867789,899.8830518417965,242261.0,19358.0,118499.0,380118.0,2767.0,382885.0,22478.389999999996,2430.29,8761.370000000003,33670.049999999996,5854.35,NA,555.88,6410.230000000002,35593.469999999994,1170.86,19537.44,56301.77,2495.53,30.29,NA,2525.82,373.58000000000004,5.63,1.7000000000000002,380.91,4417.497999999999,275.354,515.268,5208.119999999999,NA,NA,NA,NA,NA,NA,NA,NA,71212.79000000001,3912.4300000000007,29371.71,104496.93000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71212.79000000001,3912.4300000000007,29371.71,104496.93000000001,3560.6699999999996,195.62,1468.6399999999999,5224.93,67652.12,3716.81,27903.069999999996,99272.00000000001,2561.1977912499997,128.7681675,194.729325,2884.69528375,55.2368,NA,NA,55.2368,10762.360902834009,138.26,NA,10900.620902834009,13378.85,267.03999999999996,194.71,13840.6,19.77595084972947,7.184655659019428,0.6978085207111621,19.12021099377558,2685.7100000000005,135.03,204.23000000000002,2820.7400000000002,54369.869999999995,3443.51,27704.75,57813.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705720.09,231223.0,777089.05,259126.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777089.05,259126.07
2022-2023,9,ANDHRA PRADESH,Chittoor,NA,905.3953366299111,NA,905.3953366299111,NA,600450.95,NA,600450.95,85448.05,685899.0,NA,59508.280000000006,NA,59508.280000000006,NA,NA,NA,NA,NA,1212.7699999999998,NA,1212.7699999999998,NA,14108.86,NA,14108.86,NA,7234.200000000001,NA,7234.200000000001,NA,11101.24,NA,11101.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,93165.21,NA,93165.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93165.21,NA,93165.21,NA,4658.55,NA,4658.55,NA,88506.66,NA,88506.66,NA,4042.456957,NA,4042.456957,NA,1330.2462,NA,1330.2462,NA,44292.6203784,NA,44292.6203784,NA,49665.36,NA,49665.36,NA,56.11482796887828,NA,56.11482796887828,NA,5847.329999999998,NA,5847.329999999998,NA,37894.670000000006,NA,37894.670000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3099934.18,NA,3188440.8200000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3188440.8200000003,NA
2022-2023,10,ANDHRA PRADESH,East Godavari,1073.0734551545643,1081.333692063694,NA,1077.1904954157549,127679.43216,126873.37999999999,NA,254552.81216,3081.9200000000005,257634.73215999999,13594.059999999998,12943.550000000001,NA,26537.610000000004,14309.669999999998,NA,NA,14309.669999999998,40469.02999999999,8305.05,NA,48774.079999999994,3408.8399999999997,2584.5899999999997,NA,5993.429999999999,8060.169999999999,6773.709999999999,NA,14833.880000000003,1180.682,549.2320000000001,NA,1729.9140000000004,NA,NA,NA,NA,NA,NA,NA,NA,81022.54000000001,31156.18,NA,112178.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81022.54000000001,31156.18,NA,112178.7,4051.1800000000003,1557.8,NA,5608.969999999999,76971.36,29598.380000000005,NA,106569.74000000002,654.508437,1428.0301245,NA,2082.5385614999996,849.3609600000002,305.76239999999996,NA,1155.12336,13597.130289473684,14801.259732072316,NA,28398.390021546013,15100.95,16535.06,NA,31636.01,19.618920595920354,55.86474665167485,NA,29.68573443080559,691.42,1507.8200000000002,NA,2199.24,62067.869999999995,14667.29,NA,76735.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106569.73999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106569.73999999999,NA
2022-2023,11,ANDHRA PRADESH,Eluru,908.8084265189468,1054.548222592449,874.6405567303109,998.3616952426995,135041.41,427669.6555,96474.0,659185.0655000001,10631.8045,669816.8700000001,13480.650000000003,39011.9,10462.11,62954.65999999999,10984.38,NA,303.03,11287.41,35205.74,21628.660000000007,3033.75,59868.15000000001,1625.38,9372.22,NA,10997.599999999999,3494.0699999999993,21578.19,2205.0,27277.260000000002,2218.946,7438.892000000002,2285.21,11943.048000000003,NA,NA,NA,NA,NA,NA,NA,NA,67009.14,99029.85000000002,18289.16,184328.14999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67009.14,99029.85000000002,18289.16,184328.14999999997,3350.5699999999997,4951.6100000000015,914.5300000000001,9216.71,63658.57,94078.24,17374.63,175111.43999999997,3321.677850000001,6763.689785999999,NA,10085.367636,62.999999999999986,397.79999999999995,15.120000000000001,475.91999999999996,5096.3086978,35320.86975736801,NA,40417.178455168,8480.380000000001,42482.63999999999,15.120000000000001,50978.090000000004,13.321662739203852,45.15671211536269,0.08702343589474999,32.30886309923474,3730.160000000001,7728.3099999999995,NA,11458.47,55133.380000000005,52599.28,17359.510000000002,107732.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4697144.92,249369.85999999996,4854881.73,266744.50000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4854881.73,266744.50000000006
