Year,S.No,STATE,DISTRICT,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,EGWE
2024-25,39,ASSAM,LAKHIMPUR,0,73091.06,0,73091.06,,2468.0954,,2468.0954,,11.57484,,11.57484,,5328.666,,5328.666,7808.33624
2024-25,40,ASSAM,MORIGAON,0,37438.5,0,37438.5,,2362.003998,,2362.003998,,14.993178,,14.993178,,5565.888,,5565.888,7942.885176
2024-25,41,ASSAM,NAGAON,0,113614.14,0,113614.14,,1836.006639,,1836.006639,,102.950341,,102.950341,,38379.528,,38379.528,40318.48498
2024-25,42,ASSAM,NALBARI,0,33836.29,0,33836.29,,402.4156756,,402.4156756,,36.9035,,36.9035,,11058.768,,11058.768,11498.08718
2024-25,43,ASSAM,SIBSAGAR,0,88201.34,0,88201.34,,1774.231271,,1774.231271,,73.53563115,,73.53563115,,3797.55,,3797.55,5645.316902
2024-25,44,ASSAM,SONITPUR,0,137144.56,0,137144.56,,4063.052011,,4063.052011,,104.1187954,,104.1187954,,10060.47,,10060.47,14227.64081
2024-25,45,ASSAM,TINSUKIA,0,114753.5,0,114753.5,,2096.663104,,2096.663104,,68.68270857,,68.68270857,,8631.144,,8631.144,10796.48981
2024-25,46,ASSAM,UDALGURI,0,47710.65,0,47710.65,,1541.75208,,1541.75208,,62.6773653,,62.6773653,,4112.64,,4112.64,5717.069445
2024-25,47,BIHAR,ARARIA,88418.99,52762.72,0,141181.71,5911.03338,4753.22491,,10664.25829,117.2286,0,,117.2286,5845.158627,13598.0212,,19443.17983,30224.66672
2024-25,48,BIHAR,ARWAL,10788.41,8286.78,0,19075.19,2580.258365,0,,2580.258365,133.4466,0,,133.4466,3163.89612,4127.541016,,7291.437136,10005.1421
2024-25,49,BIHAR,AURANGABAD,86705.37,32048.34,0,118753.71,9451.498705,0,,9451.498705,2682.702,0,,2682.702,13964.02237,14760.84386,,28724.86624,40859.06694
2024-25,50,BIHAR,BANKA,20024.73,45438.13,0,65462.86,5194.730005,2109.79563,,7304.525635,104.967894,0,,104.967894,4780.27908,15872.00414,,20652.28322,28061.77675
2024-25,51,BIHAR,BEGUSARAI,1253.19,49400.17,0,50653.36,0,10004.03399,,10004.03399,0,78.4276776,,78.4276776,42.2994,24150.49583,,24192.79523,34275.2569
2024-25,52,BIHAR,BHAGALPUR,7297.29,64815.35,0,72112.64,1440.61631,5841.115878,,7281.732188,915.093,306,,1221.093,1231.244668,24029.52835,,25260.77301,33763.5982
2024-25,53,BIHAR,BHOJPUR,37011.95,43479.89,0,80491.84,4579.962695,4381.893839,,8961.856534,741.840186,0,,741.840186,8181.282354,22346.45562,,30527.73797,40231.43469
2024-25,54,BIHAR,BUXAR,31359.05,27008.17,0,58367.22,3929.605622,1482.63073,,5412.236352,275.68152,228.48,,504.16152,7466.568,14285.515,,21752.083,27668.48087
2024-25,55,BIHAR,DARBHANGA,5898.15,64524.03,0,70422.18,432.79145,12741.8188,,13174.61025,61.2,748.272,,809.472,664.092,26371.86376,,27035.95576,41020.03801
2024-25,56,BIHAR,EAST CHAMPARAN,106872.48,69790.69,0,176663.17,15229.90235,3731.51253,,18961.41488,7314.2568,18.36,,7332.6168,19477.94138,34622.84373,,54100.78512,80394.81679
