Year,S.No,STATE,DISTRICT,RR_Tot
2024-25,69,BIHAR,MUZAFFARPUR,1154.5
2024-25,70,BIHAR,NALANDA,1002.2
2024-25,71,BIHAR,NAWADA,1041.8
2024-25,72,BIHAR,PATNA,1074.8
2024-25,73,BIHAR,PURNEA,1598.2
2024-25,74,BIHAR,ROHTAS,949.1
2024-25,75,BIHAR,SAHARSA,1692.9
2024-25,76,BIHAR,SAMASTIPUR,1192.3
2024-25,77,BIHAR,SARAN,1123.8
2024-25,78,BIHAR,SHEIKHPURA,1008.4
2024-25,79,BIHAR,SHEOHAR,1293.1
2024-25,80,BIHAR,SITAMARHI,1293.1
2024-25,81,BIHAR,SIWAN,1135.4
2024-25,82,BIHAR,SUPAUL,1273.8
2024-25,83,BIHAR,VAISHALI,1176.5
2024-25,84,BIHAR,WEST CHAMPARAN,1472
2024-25,85,CHANDIGARH,CHANDIGARH,1009.8
2024-25,86,CHHATTISGARH,BALOD,1122.9
2024-25,87,CHHATTISGARH,BALODA BAZAR,1396.682687
2024-25,88,CHHATTISGARH,BALRAMPUR,1317
2024-25,89,CHHATTISGARH,BASTAR,1362.6
2024-25,90,CHHATTISGARH,BEMETARA,1122.9
2024-25,91,CHHATTISGARH,BIJAPUR,1528.1
2024-25,92,CHHATTISGARH,BILASPUR,1114.455127
2024-25,93,CHHATTISGARH,DANTEWADA,1327.9
2024-25,94,CHHATTISGARH,DHAMTARI,1385.3
2024-25,95,CHHATTISGARH,DURG,1122.9
2024-25,96,CHHATTISGARH,GARIABAND,1385.3
2024-25,97,CHHATTISGARH,GOURELA-PENDRA-MARWAHI,1229.8
2024-25,98,CHHATTISGARH,JANJGIR-CHAMPA,1386
2024-25,99,CHHATTISGARH,JASHPUR,1482.740078
2024-25,100,CHHATTISGARH,KABIRDHAM,1117
2024-25,101,CHHATTISGARH,KANKER,1397.505747
2024-25,102,CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN_GANDAI,1208.7
2024-25,103,CHHATTISGARH,KONDAGAON,1362.4
2024-25,104,CHHATTISGARH,KORBA,1392
2024-25,105,CHHATTISGARH,KOREA,1317
2024-25,106,CHHATTISGARH,MAHASAMUND,1406.241921
2024-25,107,CHHATTISGARH,MANENDRAGARH-CHIRMIRI_BHARATPUR,1317
2024-25,108,CHHATTISGARH,MOHLA-MANPUR_AMBAGARHCHOWKI,1208.7
2024-25,109,CHHATTISGARH,MUNGELI,1351
2024-25,110,CHHATTISGARH,NARAYANPUR,1404.1
2024-25,111,CHHATTISGARH,RAIGARH,1466
2024-25,112,CHHATTISGARH,RAIPUR,1376.335196
2024-25,113,CHHATTISGARH,RAJNANDGAON,1208.7
2024-25,114,CHHATTISGARH,SAKTI,1386
2024-25,115,CHHATTISGARH,SARANGARH-BILAIRAGH,1418.408702
2024-25,116,CHHATTISGARH,SUKMA,1403.846659
2024-25,117,CHHATTISGARH,SURAJPUR,1241.805208
2024-25,118,CHHATTISGARH,SURGUJA,1369.15459
2024-25,119,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,2265.7
2024-25,120,DAMAN AND DIU,DAMAN,2194.781382
2024-25,121,DAMAN AND DIU,DIU,848.237
2024-25,122,DELHI,CENTRAL,652
2024-25,123,DELHI,EAST,652
2024-25,124,DELHI,NAZUL LAND,652
2024-25,125,DELHI,NEW DELHI,652
2024-25,126,DELHI,NORTH,652
2024-25,127,DELHI,NORTH EAST,652
2024-25,128,DELHI,NORTH WEST,652
2024-25,129,DELHI,SHAHDARA,652
2024-25,130,DELHI,SOUTH,652
2024-25,131,DELHI,SOUTH EAST,652
2024-25,132,DELHI,SOUTH WEST,652
2024-25,133,DELHI,WEST,652
2024-25,134,GOA,GOA NORTH,3354.447551
2024-25,135,GOA,SOUTH GOA,3355.934867
2024-25,136,GUJARAT,AHMEDABAD,700.6612739
2024-25,137,GUJARAT,AMRELI,735.3287155
2024-25,138,GUJARAT,ANAND,859.2947437
2024-25,139,GUJARAT,ARVALLI,900.7735205
2024-25,140,GUJARAT,BANASKANTHA,686.1250139
2024-25,141,GUJARAT,BHARUCH,805.1483122
2024-25,142,GUJARAT,BHAVNAGAR,690.74222
2024-25,143,GUJARAT,BOTAD,713.7112832
2024-25,144,GUJARAT,CHHOTA UDEPUR,1118.576161
2024-25,145,GUJARAT,DAHOD,724.1545318
2024-25,146,GUJARAT,DANG,2388.385835
2024-25,147,GUJARAT,DEVBHUMI DWARKA,919.2956464
2024-25,148,GUJARAT,GANDHINAGAR,794.8286972
2024-25,149,GUJARAT,GIR SOMNATH,1107.900254
2024-25,150,GUJARAT,JAMNAGAR,808.2899847
2024-25,151,GUJARAT,JUNAGADH,1181.572135
2024-25,152,GUJARAT,KACHCHH,560.3503823
2024-25,153,GUJARAT,KHEDA,859.3040285
2024-25,154,GUJARAT,MAHESANA,760.2099149
2024-25,155,GUJARAT,MAHISAGAR,751.5878414
2024-25,156,GUJARAT,MORBI,626.0317954
2024-25,157,GUJARAT,NARMADA,1122.704494
2024-25,158,GUJARAT,NAVSARI,1894.641127
2024-25,159,GUJARAT,PANCHMAHAL,912.0972932
2024-25,160,GUJARAT,PATAN,627.4700859
2024-25,161,GUJARAT,PORBANDAR,843.6287272
2024-25,162,GUJARAT,RAJKOT,809.3926023
2024-25,163,GUJARAT,RANA AND KUTCH,0
2024-25,164,GUJARAT,SABARKANTHA,919.2909245
2024-25,165,GUJARAT,SURAT,1551.187984
2024-25,166,GUJARAT,SURENDRANAGAR,606.8768026
2024-25,167,GUJARAT,TAPI,1484.274087
2024-25,168,GUJARAT,VADODARA,897.5771421
2024-25,169,GUJARAT,VALSAD,2487.498486
2024-25,170,HARYANA,AMBALA,1065.561512
2024-25,171,HARYANA,BHIWANI,346.8699711
2024-25,172,HARYANA,CHARKHI DADRI,425.2986393
2024-25,173,HARYANA,FARIDABAD,601.5438396
2024-25,174,HARYANA,FATEHABAD,297.5850129
2024-25,175,HARYANA,GURGAON,559.4903869
2024-25,176,HARYANA,HISAR,475.5713898
2024-25,177,HARYANA,JHAJJAR,464.1504363
2024-25,178,HARYANA,JIND,395.7532156
2024-25,179,HARYANA,KAITHAL,483.5500244
2024-25,180,HARYANA,KARNAL,649.347543
2024-25,181,HARYANA,KURUKSHETRA,624.24
2024-25,182,HARYANA,MAHENDRAGARH,332.9152713
2024-25,183,HARYANA,MEWAT,434.9760124
2024-25,184,HARYANA,PALWAL,441.5911528
2024-25,185,HARYANA,PANCHKULA,1379
2024-25,186,HARYANA,PANIPAT,478.9108773
2024-25,187,HARYANA,REWARI,541.9099833
2024-25,188,HARYANA,ROHTAK,445.591332
2024-25,189,HARYANA,SIRSA,283.6553849
2024-25,190,HARYANA,SONIPAT,451.8355599
2024-25,191,HARYANA,YAMUNA NAGAR,901
2024-25,192,HIMACHAL PRADESH,BALH VALLEY,1506.9
2024-25,193,HIMACHAL PRADESH,CHAUNTRA VALLEY,1506.9
2024-25,194,HIMACHAL PRADESH,DHARAMSHALA PALAMPUR VALLEY,2019.8
2024-25,195,HIMACHAL PRADESH,HUM VALLEY,1110.7
2024-25,196,HIMACHAL PRADESH,KALA AMB VALLEY,1618.3
2024-25,197,HIMACHAL PRADESH,NALAGARH VALLEY,1366.2
2024-25,198,HIMACHAL PRADESH,NURPUR & INDAURA vALLEY,2019.8
2024-25,199,HIMACHAL PRADESH,POANTA VALLEY,1618.3
2024-25,200,HIMACHAL PRADESH,UNA VALLEY BEAS CATCHMENT,1110.7
2024-25,201,HIMACHAL PRADESH,UNA VALLEY SUTLEJ CATCHMENT,1110.7
2024-25,202,JAMMU AND KASHMIR,Anantnag,967.4
2024-25,203,JAMMU AND KASHMIR,Bandipora,774.1
2024-25,204,JAMMU AND KASHMIR,Baramulla,920.9
2024-25,205,JAMMU AND KASHMIR,Barmulla,0
2024-25,206,JAMMU AND KASHMIR,Budgam,717.1
2024-25,207,JAMMU AND KASHMIR,Doda,1268.7
2024-25,208,JAMMU AND KASHMIR,Ganderbal,914.4
2024-25,209,JAMMU AND KASHMIR,Jammu,1361.2
2024-25,210,JAMMU AND KASHMIR,Kathua,1871.7
2024-25,211,JAMMU AND KASHMIR,Kishtwar,1268.7
2024-25,212,JAMMU AND KASHMIR,Kulgam,1228.1
2024-25,213,JAMMU AND KASHMIR,Kupwara,0
2024-25,214,JAMMU AND KASHMIR,Kupwarar,1057.1
2024-25,215,JAMMU AND KASHMIR,Mirpur,0
2024-25,216,JAMMU AND KASHMIR,Muzaffarabad,0
2024-25,217,JAMMU AND KASHMIR,Poonch,1337
2024-25,218,JAMMU AND KASHMIR,Pulwama,578.7
2024-25,219,JAMMU AND KASHMIR,Rajouri,1188.4
2024-25,220,JAMMU AND KASHMIR,Ramban,1468.4
2024-25,221,JAMMU AND KASHMIR,Reasi,2189
2024-25,222,JAMMU AND KASHMIR,Samba,1043.5
2024-25,223,JAMMU AND KASHMIR,Shopian,806.9
2024-25,224,JAMMU AND KASHMIR,Srinagar,815.7
2024-25,225,JAMMU AND KASHMIR,Srinagar Hilly Area,0
2024-25,226,JAMMU AND KASHMIR,Udhampur,1632.2
2024-25,227,JHARKHAND,BOKARO,1208.836429
2024-25,228,JHARKHAND,CHATRA,1148.250338
2024-25,229,JHARKHAND,DEOGHAR,1309.023138
2024-25,230,JHARKHAND,DHANBAD,1388.32658
2024-25,231,JHARKHAND,DUMKA,1422.650558
2024-25,232,JHARKHAND,EAST SINGHBHUM,1438.363456
2024-25,233,JHARKHAND,GARHWA,1088.730183
2024-25,234,JHARKHAND,GIRIDIH,1241.591959
2024-25,235,JHARKHAND,GODDA,1180.230079
2024-25,236,JHARKHAND,GUMLA,1369.147975
2024-25,237,JHARKHAND,HAZARIBAGH,1338.257173
2024-25,238,JHARKHAND,JAMTARA,1443.8
2024-25,239,JHARKHAND,KHUNTI,1409.237583
2024-25,240,JHARKHAND,KODERMA,1129.6
2024-25,241,JHARKHAND,LATEHAR,1279.458996
2024-25,242,JHARKHAND,LOHARDAGA,1238.588307
2024-25,243,JHARKHAND,PAKUR,1660.183402
2024-25,244,JHARKHAND,PALAMAU,1023.893979
2024-25,245,JHARKHAND,RAMGARH,1307.764512
2024-25,246,JHARKHAND,RANCHI,1314.06182
2024-25,247,JHARKHAND,SAHEBGANJ,1564.24582
2024-25,248,JHARKHAND,SARAIKELA KHARSAWAN,1322.673271
2024-25,249,JHARKHAND,SIMDEGA,1547.738071
2024-25,250,JHARKHAND,WEST SINGHBHUM,1329.251869
2024-25,251,KARNATAKA,Bagalkot,661.1480703
2024-25,252,KARNATAKA,Ballari,628.6901886
2024-25,253,KARNATAKA,Belagavi,845.0106314
