Year,S.No,STATE,DISTRICT,AGR_Tot
2024-25,496,TELANGANA,Medchal Malkajgiri,10797.3
2024-25,497,TELANGANA,Mulug,60403.35132
2024-25,498,TELANGANA,Nagarkurnool,96485.58
2024-25,499,TELANGANA,Nalgonda,141870.31
2024-25,500,TELANGANA,Narayanpet,33720.717
2024-25,501,TELANGANA,Nirmal,75188.99
2024-25,502,TELANGANA,Nizamabad,102441.2071
2024-25,503,TELANGANA,Peddapalle,52198.98
2024-25,504,TELANGANA,Rajanna Siricilla,45627.58
2024-25,505,TELANGANA,Rangareddy,55910.16
2024-25,506,TELANGANA,Sangareddy,39290.94634
2024-25,507,TELANGANA,Siddipet,55203.37
2024-25,508,TELANGANA,Suryapet,114424.1608
2024-25,509,TELANGANA,Vikarabad,36390.24
2024-25,510,TELANGANA,Wanaparthy,70848.35083
2024-25,511,TELANGANA,Warangal,55989.26
2024-25,512,TELANGANA,Yadadri Bhuvanagiri,76461.84226
2024-25,513,TRIPURA,DHALAI,20618.55
2024-25,514,TRIPURA,GOMATI,24719.52
2024-25,515,TRIPURA,KHOWAI,12422.8
2024-25,516,TRIPURA,NORTH TRIPURA,10425.41
2024-25,517,TRIPURA,SEPAHIJALA,20267.62
2024-25,518,TRIPURA,SOUTH TRIPURA,24757.74
2024-25,519,TRIPURA,UNAKOTI,9264.95
2024-25,520,TRIPURA,WEST TRIPURA,16809.08
2024-25,521,UTTARAKHAND,DEHRADUN,56677.03
2024-25,522,UTTARAKHAND,HARIDWAR,47343.11
2024-25,523,UTTARAKHAND,NAINITAL,28901.38
2024-25,524,UTTARAKHAND,UDHAMSINGH NAGAR,79591.5
2024-25,525,WEST BENGAL,ALIPURDUAR,129084.49
2024-25,526,WEST BENGAL,BANKURA,160694.25
2024-25,527,WEST BENGAL,BIRBHUM,112487.54
2024-25,528,WEST BENGAL,DAKSHIN DINAJPUR,113266.82
2024-25,529,WEST BENGAL,DARJILING,42363.13
2024-25,530,WEST BENGAL,HAORA,22904.41
2024-25,531,WEST BENGAL,HUGLI,128457.31
2024-25,532,WEST BENGAL,JALPAIGURI,188378.35
2024-25,533,WEST BENGAL,JHARGRAM,102187.98
2024-25,534,WEST BENGAL,KALIMPONG,4004.81
2024-25,535,WEST BENGAL,KOCH BIHAR,207201.8
2024-25,536,WEST BENGAL,KOLKATTA,0
2024-25,537,WEST BENGAL,MALDA,117843.44
2024-25,538,WEST BENGAL,MURSHIDABAD,195440.41
2024-25,539,WEST BENGAL,NADIA,194912.04
2024-25,540,WEST BENGAL,NORTH 24 PARGANAS,151432.08
2024-25,541,WEST BENGAL,PASCHIM BARDDHAMAN,24168.2
2024-25,542,WEST BENGAL,PASCHIM MEDINIPUR,240759.01
2024-25,543,WEST BENGAL,PURBA BARDDHAMAN,202307.19
2024-25,544,WEST BENGAL,PURBA MEDINIPUR,67069.14
2024-25,545,WEST BENGAL,PURULIYA,59047.56
2024-25,546,WEST BENGAL,SOUTH 24 PARGANAS,0
2024-25,547,WEST BENGAL,UTTAR DINAJPUR,121382.29
2024-25,,,,30598420.18
