Year,S.No,STATE,DISTRICT,AGR_Tot
2024-25,110,CHHATTISGARH,NARAYANPUR,28045.96
2024-25,111,CHHATTISGARH,RAIGARH,42629.55
2024-25,112,CHHATTISGARH,RAIPUR,50838.52
2024-25,113,CHHATTISGARH,RAJNANDGAON,39358.73
2024-25,114,CHHATTISGARH,SAKTI,32962.5
2024-25,115,CHHATTISGARH,SARANGARH-BILAIRAGH,24702.91
2024-25,116,CHHATTISGARH,SUKMA,45924.83
2024-25,117,CHHATTISGARH,SURAJPUR,40857.58
2024-25,118,CHHATTISGARH,SURGUJA,43185.86
2024-25,119,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,9820.05
2024-25,120,DAMAN AND DIU,DAMAN,2536.66
2024-25,121,DAMAN AND DIU,DIU,186.82
2024-25,122,DELHI,CENTRAL,2566.99
2024-25,123,DELHI,EAST,1668.32
2024-25,124,DELHI,NAZUL LAND,571.42
2024-25,125,DELHI,NEW DELHI,3028.98
2024-25,126,DELHI,NORTH,4724.52
2024-25,127,DELHI,NORTH EAST,1813.6
2024-25,128,DELHI,NORTH WEST,3873.46
2024-25,129,DELHI,SHAHDARA,1650.6
2024-25,130,DELHI,SOUTH,4527.25
2024-25,131,DELHI,SOUTH EAST,2664.13
2024-25,132,DELHI,SOUTH WEST,7379.79
2024-25,133,DELHI,WEST,3835.35
2024-25,134,GOA,GOA NORTH,16495.44
2024-25,135,GOA,SOUTH GOA,21631.23
2024-25,136,GUJARAT,AHMEDABAD,570275.12
2024-25,137,GUJARAT,AMRELI,154118.93
2024-25,138,GUJARAT,ANAND,136184.07
2024-25,139,GUJARAT,ARVALLI,90977.95
2024-25,140,GUJARAT,BANASKANTHA,195470.89
2024-25,141,GUJARAT,BHARUCH,96450.9
2024-25,142,GUJARAT,BHAVNAGAR,126363.84
2024-25,143,GUJARAT,BOTAD,52266.34
2024-25,144,GUJARAT,CHHOTA UDEPUR,63315.43
2024-25,145,GUJARAT,DAHOD,37440.75
2024-25,146,GUJARAT,DANG,34657.05
2024-25,147,GUJARAT,DEVBHUMI DWARKA,51178.51
2024-25,148,GUJARAT,GANDHINAGAR,65081.58
2024-25,149,GUJARAT,GIR SOMNATH,81003.74
2024-25,150,GUJARAT,JAMNAGAR,143069.45
2024-25,151,GUJARAT,JUNAGADH,169228.55
2024-25,152,GUJARAT,KACHCHH,212605.62
2024-25,153,GUJARAT,KHEDA,97586.54
2024-25,154,GUJARAT,MAHESANA,288609.29
2024-25,155,GUJARAT,MAHISAGAR,34133.22
2024-25,156,GUJARAT,MORBI,88110.99
2024-25,157,GUJARAT,NARMADA,41651.91
2024-25,158,GUJARAT,NAVSARI,83393.21
2024-25,159,GUJARAT,PANCHMAHAL,58191.96
2024-25,160,GUJARAT,PATAN,114556.21
2024-25,161,GUJARAT,PORBANDAR,38392.27
2024-25,162,GUJARAT,RAJKOT,177921.58
2024-25,163,GUJARAT,RANA AND KUTCH,0
2024-25,164,GUJARAT,SABARKANTHA,85146.19
2024-25,165,GUJARAT,SURAT,156015.92
2024-25,166,GUJARAT,SURENDRANAGAR,236416.56
2024-25,167,GUJARAT,TAPI,77214.78
2024-25,168,GUJARAT,VADODARA,128111.91
2024-25,169,GUJARAT,VALSAD,77119.09
2024-25,170,HARYANA,AMBALA,43047.91
2024-25,171,HARYANA,BHIWANI,43427.69
2024-25,172,HARYANA,CHARKHI DADRI,19140.19
2024-25,173,HARYANA,FARIDABAD,14952.38
2024-25,174,HARYANA,FATEHABAD,65804.25
2024-25,175,HARYANA,GURGAON,25101.59
2024-25,176,HARYANA,HISAR,71752.14
2024-25,177,HARYANA,JHAJJAR,49763.68
2024-25,178,HARYANA,JIND,75827.05
2024-25,179,HARYANA,KAITHAL,46490.41
2024-25,180,HARYANA,KARNAL,117707.19
2024-25,181,HARYANA,KURUKSHETRA,41823.66
2024-25,182,HARYANA,MAHENDRAGARH,22007.12
2024-25,183,HARYANA,MEWAT,19276.64
2024-25,184,HARYANA,PALWAL,44225.6
2024-25,185,HARYANA,PANCHKULA,14581.69
2024-25,186,HARYANA,PANIPAT,52622.49
2024-25,187,HARYANA,REWARI,28813.1
2024-25,188,HARYANA,ROHTAK,36558.95
2024-25,189,HARYANA,SIRSA,66585.31
2024-25,190,HARYANA,SONIPAT,69092.53
2024-25,191,HARYANA,YAMUNA NAGAR,58778.3
2024-25,192,HIMACHAL PRADESH,BALH VALLEY,2722.7
2024-25,193,HIMACHAL PRADESH,CHAUNTRA VALLEY,5225.72
2024-25,194,HIMACHAL PRADESH,DHARAMSHALA PALAMPUR VALLEY,13693.73
2024-25,195,HIMACHAL PRADESH,HUM VALLEY,743.54
2024-25,196,HIMACHAL PRADESH,KALA AMB VALLEY,1928.3
2024-25,197,HIMACHAL PRADESH,NALAGARH VALLEY,16132.4
2024-25,198,HIMACHAL PRADESH,NURPUR & INDAURA vALLEY,41899.25
2024-25,199,HIMACHAL PRADESH,POANTA VALLEY,8658.53
2024-25,200,HIMACHAL PRADESH,UNA VALLEY BEAS CATCHMENT,1065.52
2024-25,201,HIMACHAL PRADESH,UNA VALLEY SUTLEJ CATCHMENT,19759.88
2024-25,202,JAMMU AND KASHMIR,Anantnag,11095.36
2024-25,203,JAMMU AND KASHMIR,Bandipora,4743.37
2024-25,204,JAMMU AND KASHMIR,Baramulla,10927.68
2024-25,205,JAMMU AND KASHMIR,Barmulla,0
2024-25,206,JAMMU AND KASHMIR,Budgam,5269.08
2024-25,207,JAMMU AND KASHMIR,Doda,1039.93
2024-25,208,JAMMU AND KASHMIR,Ganderbal,1078.69
2024-25,209,JAMMU AND KASHMIR,Jammu,45675.68
2024-25,210,JAMMU AND KASHMIR,Kathua,34021.9
2024-25,211,JAMMU AND KASHMIR,Kishtwar,1320.95
2024-25,212,JAMMU AND KASHMIR,Kulgam,6791.33
2024-25,213,JAMMU AND KASHMIR,Kupwara,0
2024-25,214,JAMMU AND KASHMIR,Kupwarar,6207.2
2024-25,215,JAMMU AND KASHMIR,Mirpur,0
2024-25,216,JAMMU AND KASHMIR,Muzaffarabad,0
2024-25,217,JAMMU AND KASHMIR,Poonch,5136.51
2024-25,218,JAMMU AND KASHMIR,Pulwama,5789.82
2024-25,219,JAMMU AND KASHMIR,Rajouri,17791.71
2024-25,220,JAMMU AND KASHMIR,Ramban,739.87
2024-25,221,JAMMU AND KASHMIR,Reasi,24280.3
2024-25,222,JAMMU AND KASHMIR,Samba,17195.01
2024-25,223,JAMMU AND KASHMIR,Shopian,5275.75
2024-25,224,JAMMU AND KASHMIR,Srinagar,13653.51
2024-25,225,JAMMU AND KASHMIR,Srinagar Hilly Area,0
2024-25,226,JAMMU AND KASHMIR,Udhampur,12207.07
2024-25,227,JHARKHAND,BOKARO,20520.19
2024-25,228,JHARKHAND,CHATRA,25493.71
2024-25,229,JHARKHAND,DEOGHAR,16960.59
2024-25,230,JHARKHAND,DHANBAD,28048.78
2024-25,231,JHARKHAND,DUMKA,29902.74
2024-25,232,JHARKHAND,EAST SINGHBHUM,28642.33
2024-25,233,JHARKHAND,GARHWA,27467.46
2024-25,234,JHARKHAND,GIRIDIH,38361.77
2024-25,235,JHARKHAND,GODDA,22860.85
2024-25,236,JHARKHAND,GUMLA,35584.71
2024-25,237,JHARKHAND,HAZARIBAGH,35939.87
2024-25,238,JHARKHAND,JAMTARA,10267.58
2024-25,239,JHARKHAND,KHUNTI,14577.07
2024-25,240,JHARKHAND,KODERMA,7328.06
2024-25,241,JHARKHAND,LATEHAR,24630.24
2024-25,242,JHARKHAND,LOHARDAGA,17640.48
2024-25,243,JHARKHAND,PAKUR,27110.27
2024-25,244,JHARKHAND,PALAMAU,33270.8
2024-25,245,JHARKHAND,RAMGARH,12775.5
2024-25,246,JHARKHAND,RANCHI,39505.26
2024-25,247,JHARKHAND,SAHEBGANJ,30432.74
2024-25,248,JHARKHAND,SARAIKELA KHARSAWAN,18154.24
2024-25,249,JHARKHAND,SIMDEGA,27983.42
2024-25,250,JHARKHAND,WEST SINGHBHUM,48790.01
2024-25,251,KARNATAKA,Bagalkot,68522.5
2024-25,252,KARNATAKA,Ballari,72840.39
2024-25,253,KARNATAKA,Belagavi,118825.74
2024-25,254,KARNATAKA,Bengaluru (Rural),18678.56
2024-25,255,KARNATAKA,Bengaluru (Urban),34265.4
2024-25,256,KARNATAKA,Bengaluru South,54568.86
2024-25,257,KARNATAKA,Bidar,37974.51
2024-25,258,KARNATAKA,Chamarajanagara,39714.96
2024-25,259,KARNATAKA,Chikkaballapura,34170.92
2024-25,260,KARNATAKA,Chikkamagaluru,67772.97
2024-25,261,KARNATAKA,Chitradurga,43540.66
2024-25,262,KARNATAKA,Dakshina Kannada,73327.88
2024-25,263,KARNATAKA,Davanagere,63708.03
2024-25,264,KARNATAKA,Dharwad,33068.74
2024-25,265,KARNATAKA,Gadag,35499.84
2024-25,266,KARNATAKA,Hassan,87379.99
2024-25,267,KARNATAKA,Haveri,63312.72
2024-25,268,KARNATAKA,Kalburgi,74896.38
2024-25,269,KARNATAKA,Kodagu,23528.38
2024-25,270,KARNATAKA,Kolara,36703.06
2024-25,271,KARNATAKA,Koppal,66271
2024-25,272,KARNATAKA,Mandya,69663.29
2024-25,273,KARNATAKA,Mysuru,73198.94
2024-25,274,KARNATAKA,Raichur,86504.51
2024-25,275,KARNATAKA,Shivamogga,108236.42
2024-25,276,KARNATAKA,Tumakuru,84999.81
2024-25,277,KARNATAKA,Udupi,54766.61
2024-25,278,KARNATAKA,Uttara Kannada,92723.99
2024-25,279,KARNATAKA,Vijayanagara,43384.98
2024-25,280,KARNATAKA,Vijayapura,105433.72
2024-25,281,KARNATAKA,Yadgir,59974.72
2024-25,282,KERALA,ALAPPUZHA,38971.95
2024-25,283,KERALA,ERNAKULAM,41123.2
2024-25,284,KERALA,IDUKKI,22784.44
2024-25,285,KERALA,KANNUR,39521.22
2024-25,286,KERALA,KASARGOD,34104.92
2024-25,287,KERALA,KOLLAM,32320.93
2024-25,288,KERALA,KOTTAYAM,40052.51
2024-25,289,KERALA,KOZHIKKODE,32380.69
2024-25,290,KERALA,MALAPPURAM,43355.91
2024-25,291,KERALA,PALAKKAD,55520.39
2024-25,292,KERALA,PATHANAMTHITTA,21910.29
2024-25,293,KERALA,THIRUVANANTHAPURAM,26558.89
2024-25,294,KERALA,THRISSUR,60874.46
2024-25,295,KERALA,WAYANAD,23631.16
2024-25,296,LADAKH,KARGIL,1560.85
2024-25,297,LADAKH,LEH,5181.04
2024-25,298,LAKSHDWEEP,AMINI,247.78
2024-25,299,LAKSHDWEEP,ANDROTH,311.88
2024-25,300,LAKSHDWEEP,KAVARATTI,269.72
2024-25,301,LAKSHDWEEP,KILTAN,114.46
2024-25,302,LAKSHDWEEP,MINICOY,199.43
2024-25,303,MAHARASHTRA,Ahmednagar,
2024-25,304,MAHARASHTRA,Akola,45732.14817
2024-25,305,MAHARASHTRA,Amravati,
2024-25,306,MAHARASHTRA,Aurangabad,
2024-25,307,MAHARASHTRA,Beed,131083.17
2024-25,308,MAHARASHTRA,Bhandara,93961.41752
2024-25,309,MAHARASHTRA,Buldhana,
2024-25,310,MAHARASHTRA,Chandrapur,
2024-25,311,MAHARASHTRA,Dhule,78037.15
2024-25,312,MAHARASHTRA,Gadchiroli,109453.2024
2024-25,313,MAHARASHTRA,Gondia,66386.5
2024-25,314,MAHARASHTRA,Hingoli,103197.63
2024-25,315,MAHARASHTRA,Jalgaon,144267.36
2024-25,316,MAHARASHTRA,Jalna,97761.85
2024-25,317,MAHARASHTRA,Kolhapur,135723.11
2024-25,318,MAHARASHTRA,Latur,73923.61
2024-25,319,MAHARASHTRA,Mumbai,1555.42
2024-25,320,MAHARASHTRA,Mumbai Sub,7836.16
2024-25,321,MAHARASHTRA,Nagpur,127836.6546
2024-25,322,MAHARASHTRA,Nanded,124988.6
2024-25,323,MAHARASHTRA,Nandurbar,51595.24622
2024-25,324,MAHARASHTRA,Nashik,200969.79
2024-25,325,MAHARASHTRA,Osmanabad,
2024-25,326,MAHARASHTRA,Palghar,22475.68
2024-25,327,MAHARASHTRA,Parbhani,86749.55
2024-25,328,MAHARASHTRA,Pune,198447.4735
2024-25,329,MAHARASHTRA,Raigad,37065.05
2024-25,330,MAHARASHTRA,Ratnagiri,41347.18
2024-25,331,MAHARASHTRA,Sangli,156894.1926
2024-25,332,MAHARASHTRA,Satara,121178.45
2024-25,333,MAHARASHTRA,Sindhudurg,23473.6
2024-25,334,MAHARASHTRA,Solapur,147741.6
2024-25,335,MAHARASHTRA,Thane,17281.99
2024-25,336,MAHARASHTRA,Wardha,94710.38
2024-25,337,MAHARASHTRA,Washim,64377.36
2024-25,338,MAHARASHTRA,Yawatmal,126092.12
2024-25,339,MANIPUR,BISHNUPUR,9682.52
2024-25,340,MANIPUR,CHANDEL,0
2024-25,341,MANIPUR,CHURACHANPUR,6643.47
2024-25,342,MANIPUR,IMPHAL EAST,12687.61
2024-25,343,MANIPUR,IMPHAL WEST,8745.21
2024-25,344,MANIPUR,SENAPATI,0
2024-25,345,MANIPUR,TAMENGLONG,0
2024-25,346,MANIPUR,THOUBAL,6414.81
2024-25,347,MANIPUR,UKHRUL,0
2024-25,348,MEGHALAYA,EAST GARO HILLS,8492.75
2024-25,349,MEGHALAYA,EAST JAINTIA HILLS,16795.91
2024-25,350,MEGHALAYA,EAST KHASI HILLS,21817.41
2024-25,351,MEGHALAYA,NORTH GARO HILLS,8729.72
2024-25,352,MEGHALAYA,RI BHOI,6483.7
2024-25,353,MEGHALAYA,SOUTH GARO HILLS,23473.66
2024-25,354,MEGHALAYA,SOUTH WEST GARO HILLS,4674.95
2024-25,355,MEGHALAYA,SOUTH WEST KHASI HILLS,14333.11
2024-25,356,MEGHALAYA,WEST GARO HILLS,21959.48
2024-25,357,MEGHALAYA,WEST JAINTIA HILLS,11163.47
2024-25,358,MEGHALAYA,WEST KHASI HILLS,33965.4
2024-25,359,MIZORAM,AIZAWL,1523.15
2024-25,360,MIZORAM,CHAMPHAI,1581.83
2024-25,361,MIZORAM,KOLASIB,2776.48
2024-25,362,MIZORAM,LAWNGTLAI,3377.38
2024-25,363,MIZORAM,LUNGLEI,4941.16
2024-25,364,MIZORAM,MAMIT,5176.35
2024-25,365,MIZORAM,SAIHA,772.73
2024-25,366,MIZORAM,SERCHHIP,911.64
2024-25,367,NAGALAND,Dimapur,22709.24
2024-25,368,NAGALAND,Kiphire,580.17
2024-25,369,NAGALAND,Kohima,3081.44
2024-25,370,NAGALAND,Longleng,1544.21
2024-25,371,NAGALAND,Mokokchung,6244.81
2024-25,372,NAGALAND,Mon,4430.39
2024-25,373,NAGALAND,Peren,4503.54
2024-25,374,NAGALAND,Phek,1181.42
2024-25,375,NAGALAND,Tuensang,1453.61
2024-25,376,NAGALAND,Wokha,7633.83
2024-25,377,NAGALAND,Zunheboto,1896.07
2024-25,378,PUDUCHERRY,KARAIKAL,4424.01
2024-25,379,PUDUCHERRY,PUDUCHERRY,14671.75
2024-25,380,PUNJAB,Amritsar,139004.6
2024-25,381,PUNJAB,Barnala,54325.57
2024-25,382,PUNJAB,Bathinda,151267.13
2024-25,383,PUNJAB,Faridkot,79836.1
2024-25,384,PUNJAB,Fatehgarh Sahib,39729.99
2024-25,385,PUNJAB,Fazilka,127334.95
2024-25,386,PUNJAB,Firozpur,164611.29
2024-25,387,PUNJAB,Gurdaspur,154067.08
2024-25,388,PUNJAB,Hoshiarpur,90479.81
2024-25,389,PUNJAB,Jalandhar,95776.84
2024-25,390,PUNJAB,Kapurthala,62665.8
2024-25,391,PUNJAB,Ludhiana,136489.67
2024-25,392,PUNJAB,Malerkotla,21593.08
2024-25,393,PUNJAB,Mansa,120780.75
2024-25,394,PUNJAB,Moga,78037.92
2024-25,395,PUNJAB,Muktsar,166703.07
2024-25,396,PUNJAB,Pathankot,48104.68
2024-25,397,PUNJAB,Patiala,101074.45
2024-25,398,PUNJAB,Rupnagar,41898.64
2024-25,399,PUNJAB,SAS Nagar,22650.41
2024-25,400,PUNJAB,SBS Nagar,54201.08
2024-25,401,PUNJAB,Sangrur,70252.95
2024-25,402,PUNJAB,Tarn Taran,70108.95
2024-25,403,RAJASTHAN,AJMER,37312.12
2024-25,404,RAJASTHAN,ALWAR,82721.78
2024-25,405,RAJASTHAN,BANSWARA,23225.14
2024-25,406,RAJASTHAN,BARAN,64889.22
2024-25,407,RAJASTHAN,BARMER,69044.27
2024-25,408,RAJASTHAN,BHARATPUR,55523.77
2024-25,409,RAJASTHAN,BHILWARA,45313.86
2024-25,410,RAJASTHAN,BIKANER,62753.26
2024-25,411,RAJASTHAN,BUNDI,36047.3
2024-25,412,RAJASTHAN,CHITTAURGARH,34798.2
2024-25,413,RAJASTHAN,CHURU,22296.61
2024-25,414,RAJASTHAN,DAUSA,27982.31
2024-25,415,RAJASTHAN,DHAULPUR,28673.96
2024-25,416,RAJASTHAN,DUNGARPUR,22696.67
2024-25,417,RAJASTHAN,GANGANAGAR,149315.58
2024-25,418,RAJASTHAN,HANUMANGARH,96930.29
2024-25,419,RAJASTHAN,JAIPUR,80440.05
2024-25,420,RAJASTHAN,JAISALMER,54914.61
2024-25,421,RAJASTHAN,JALOR,60141.99
2024-25,422,RAJASTHAN,JHALAWAR,59090.67
2024-25,423,RAJASTHAN,JHUNJHUNU,25409.15
2024-25,424,RAJASTHAN,JODHPUR,51524.6
2024-25,425,RAJASTHAN,KARAULI,36325.58
2024-25,426,RAJASTHAN,KOTA,52465.22
2024-25,427,RAJASTHAN,NAGAUR,70903.93
2024-25,428,RAJASTHAN,PALI,47598.11
2024-25,429,RAJASTHAN,PRATAPGARH,23448.34
2024-25,430,RAJASTHAN,RAJSAMAND,12510.96
2024-25,431,RAJASTHAN,SAWAI MADHOPUR,46369.32
2024-25,432,RAJASTHAN,SIKAR,38924.66
