Source,Command,Non Command,Total
Irrigation,11277743.58,10210482.46,21488226.03
Domestic,1227269.88,1584727.91,2811997.79
Industry,216404.45,199843.96,416248.4
Total,12721417.7,11995054.64,24716472.35
