YEAR,S.No,STATE,DISTRICT,GWE_Tot
2023-2024,696,UTTAR PRADESH,SHAMLI,44275.77
2023-2024,697,UTTAR PRADESH,SHRAWASTI,30016.08
2023-2024,698,UTTAR PRADESH,SIDDHARTH NAGAR,56683.74
2023-2024,699,UTTAR PRADESH,SITAPUR,107842.54
2023-2024,700,UTTAR PRADESH,SONBHADRA,26334.41
2023-2024,701,UTTAR PRADESH,SULTANPUR,52412.36
2023-2024,702,UTTAR PRADESH,UNNAO,97211.53
2023-2024,703,UTTAR PRADESH,VARANASI,41171.74
2023-2024,704,UTTARAKHAND,DEHRADUN,20402.3
2023-2024,705,UTTARAKHAND,HARIDWAR,28488.89
2023-2024,706,UTTARAKHAND,NAINITAL,14064.33
2023-2024,707,UTTARAKHAND,UDHAMSINGH NAGAR,42192.13
2023-2024,708,WEST BENGAL,ALIPURDUAR,12948.7
2023-2024,709,WEST BENGAL,BANKURA,59335.32
2023-2024,710,WEST BENGAL,BIRBHUM,34355.33
2023-2024,711,WEST BENGAL,DAKSHIN DINAJPUR,62207.17
2023-2024,712,WEST BENGAL,DARJILING,6365.91
2023-2024,713,WEST BENGAL,HAORA,4270.39
2023-2024,714,WEST BENGAL,HUGLI,63518.09
2023-2024,715,WEST BENGAL,JALPAIGURI,20590.78
2023-2024,716,WEST BENGAL,JHARGRAM,23313.88
2023-2024,717,WEST BENGAL,KALIMPONG,64.87
2023-2024,718,WEST BENGAL,KOCH BIHAR,86083.77
2023-2024,719,WEST BENGAL,KOLKATTA,0
2023-2024,720,WEST BENGAL,MALDA,38415.99
2023-2024,721,WEST BENGAL,MURSHIDABAD,109525
2023-2024,722,WEST BENGAL,NADIA,147179.61
2023-2024,723,WEST BENGAL,NORTH 24 PARGANAS,99208.11
2023-2024,724,WEST BENGAL,PASCHIM BARDDHAMAN,11231.89
2023-2024,725,WEST BENGAL,PASCHIM MEDINIPUR,116287.92
2023-2024,726,WEST BENGAL,PURBA BARDDHAMAN,96391.73
2023-2024,727,WEST BENGAL,PURBA MEDINIPUR,21969.68
2023-2024,728,WEST BENGAL,PURULIYA,9367.75
2023-2024,729,WEST BENGAL,SOUTH 24 PARGANAS,0
2023-2024,730,WEST BENGAL,UTTAR DINAJPUR,52401.58
,,,,25202419.28
