Year,S.No,STATE,DISTRICT,AER_Tot
2024-25,496,TELANGANA,Medchal Malkajgiri,9736.91
2024-25,497,TELANGANA,Mulug,54650.14
2024-25,498,TELANGANA,Nagarkurnool,87476.46
2024-25,499,TELANGANA,Nalgonda,128247.44
2024-25,500,TELANGANA,Narayanpet,30535.49
2024-25,501,TELANGANA,Nirmal,68160.8
2024-25,502,TELANGANA,Nizamabad,92714.62
2024-25,503,TELANGANA,Peddapalle,47233.35
2024-25,504,TELANGANA,Rajanna Siricilla,41408.46
2024-25,505,TELANGANA,Rangareddy,50532.72
2024-25,506,TELANGANA,Sangareddy,35537.97
2024-25,507,TELANGANA,Siddipet,49695.51
2024-25,508,TELANGANA,Suryapet,103271.29
2024-25,509,TELANGANA,Vikarabad,32751
2024-25,510,TELANGANA,Wanaparthy,64149.3
2024-25,511,TELANGANA,Warangal,50602.5
2024-25,512,TELANGANA,Yadadri Bhuvanagiri,69137.42
2024-25,513,TRIPURA,DHALAI,18379.79
2024-25,514,TRIPURA,GOMATI,22197.08
2024-25,515,TRIPURA,KHOWAI,11160.92
2024-25,516,TRIPURA,NORTH TRIPURA,9047.45
2024-25,517,TRIPURA,SEPAHIJALA,17980.61
2024-25,518,TRIPURA,SOUTH TRIPURA,22036.47
2024-25,519,TRIPURA,UNAKOTI,8224.49
2024-25,520,TRIPURA,WEST TRIPURA,15144.27
2024-25,521,UTTARAKHAND,DEHRADUN,51009.32
2024-25,522,UTTARAKHAND,HARIDWAR,43422.85
2024-25,523,UTTARAKHAND,NAINITAL,26011.24
2024-25,524,UTTARAKHAND,UDHAMSINGH NAGAR,74756.36
2024-25,525,WEST BENGAL,ALIPURDUAR,116176.02
2024-25,526,WEST BENGAL,BANKURA,147036.71
2024-25,527,WEST BENGAL,BIRBHUM,103093.92
2024-25,528,WEST BENGAL,DAKSHIN DINAJPUR,102169.85
2024-25,529,WEST BENGAL,DARJILING,38126.81
2024-25,530,WEST BENGAL,HAORA,21190.22
2024-25,531,WEST BENGAL,HUGLI,116406.48
2024-25,532,WEST BENGAL,JALPAIGURI,169540.51
2024-25,533,WEST BENGAL,JHARGRAM,94154.4
2024-25,534,WEST BENGAL,KALIMPONG,3604.32
2024-25,535,WEST BENGAL,KOCH BIHAR,186481.62
2024-25,536,WEST BENGAL,KOLKATTA,0
2024-25,537,WEST BENGAL,MALDA,106801.68
2024-25,538,WEST BENGAL,MURSHIDABAD,180969.09
2024-25,539,WEST BENGAL,NADIA,176494.48
2024-25,540,WEST BENGAL,NORTH 24 PARGANAS,138984.52
2024-25,541,WEST BENGAL,PASCHIM BARDDHAMAN,21955.99
2024-25,542,WEST BENGAL,PASCHIM MEDINIPUR,218332.66
2024-25,543,WEST BENGAL,PURBA BARDDHAMAN,183612.2
2024-25,544,WEST BENGAL,PURBA MEDINIPUR,60362.23
2024-25,545,WEST BENGAL,PURULIYA,53142.82
2024-25,546,WEST BENGAL,SOUTH 24 PARGANAS,0
2024-25,547,WEST BENGAL,UTTAR DINAJPUR,111021.08
2024-25,,,,27846197.68
