Year,S.No,STATE,DISTRICT,AER_Tot
2024-25,110,CHHATTISGARH,NARAYANPUR,25241.36
2024-25,111,CHHATTISGARH,RAIGARH,39100.27
2024-25,112,CHHATTISGARH,RAIPUR,46265.25
2024-25,113,CHHATTISGARH,RAJNANDGAON,36228.52
2024-25,114,CHHATTISGARH,SAKTI,29666.26
2024-25,115,CHHATTISGARH,SARANGARH-BILAIRAGH,22549.72
2024-25,116,CHHATTISGARH,SUKMA,41767.19
2024-25,117,CHHATTISGARH,SURAJPUR,38028.39
2024-25,118,CHHATTISGARH,SURGUJA,39608.75
2024-25,119,DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,9095.78
2024-25,120,DAMAN AND DIU,DAMAN,2409.83
2024-25,121,DAMAN AND DIU,DIU,177.48
2024-25,122,DELHI,CENTRAL,2310.29
2024-25,123,DELHI,EAST,1501.49
2024-25,124,DELHI,NAZUL LAND,514.28
2024-25,125,DELHI,NEW DELHI,2726.07
2024-25,126,DELHI,NORTH,4252.06
2024-25,127,DELHI,NORTH EAST,1632.23
2024-25,128,DELHI,NORTH WEST,3486.13
2024-25,129,DELHI,SHAHDARA,1485.55
2024-25,130,DELHI,SOUTH,4074.53
2024-25,131,DELHI,SOUTH EAST,2397.71
2024-25,132,DELHI,SOUTH WEST,6641.81
2024-25,133,DELHI,WEST,3535
2024-25,134,GOA,GOA NORTH,13196.35
2024-25,135,GOA,SOUTH GOA,17304.99
2024-25,136,GUJARAT,AHMEDABAD,514367.92
2024-25,137,GUJARAT,AMRELI,146412.97
2024-25,138,GUJARAT,ANAND,126312.95
2024-25,139,GUJARAT,ARVALLI,86429.06
2024-25,140,GUJARAT,BANASKANTHA,175923.8
2024-25,141,GUJARAT,BHARUCH,88194.93
2024-25,142,GUJARAT,BHAVNAGAR,120025.94
2024-25,143,GUJARAT,BOTAD,49651.2
2024-25,144,GUJARAT,CHHOTA UDEPUR,56983.89
2024-25,145,GUJARAT,DAHOD,34036.87
2024-25,146,GUJARAT,DANG,31191.34
2024-25,147,GUJARAT,DEVBHUMI DWARKA,48619.58
2024-25,148,GUJARAT,GANDHINAGAR,59394.25
2024-25,149,GUJARAT,GIR SOMNATH,74587.48
2024-25,150,GUJARAT,JAMNAGAR,135906.12
2024-25,151,GUJARAT,JUNAGADH,160761.74
2024-25,152,GUJARAT,KACHCHH,192955.99
2024-25,153,GUJARAT,KHEDA,89296.48
2024-25,154,GUJARAT,MAHESANA,260170.41
2024-25,155,GUJARAT,MAHISAGAR,30719.91
2024-25,156,GUJARAT,MORBI,82049.88
2024-25,157,GUJARAT,NARMADA,38657.36
2024-25,158,GUJARAT,NAVSARI,77262.45
2024-25,159,GUJARAT,PANCHMAHAL,54298.11
