Year,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR,UCA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,TGAH_FR,TGAH_SL
2019-2020,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,0.0,2954.43,0.0,2954.43,0.0,58040.0,0.0,58040.0,286106.0,344146.0,0.0,9770.87,0.0,9770.87,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.63,0.0,12.63,0.0,0.0,0.0,0.0,,,,,,,,,0.0,9783.5,0.0,9783.5,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,9783.5,0.0,9783.5,0.0,978.34,0.0,978.34,0.0,8805.16,0.0,8805.16,,244.16821,,244.16821,,83.036932346,,83.036932346,,0.804,,0.804,,327.99,,327.99,,3.72497490108073,,3.72497490108073,0.0,269.19,0.0,269.19,0.0,8452.16,0.0,8452.16,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,8805.16,0.0,0.0,,0.0,,0.0,,,,,,,,8805.16,0.0
2019-2020,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0.0,2954.43,2954.43,2954.43,0.0,121615.0,828.0,122443.0,71723.0,194166.0,0.0,15184.09,299.74,15483.83,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,15185.09,299.74,15484.83,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,15185.09,299.74,15484.83,0.0,1518.51,29.97,1548.48,0.0,13666.58,269.77,13936.35,,82.25932,2.9369725,85.1962925,,0.943364383561644,0.0,0.943364383561644,,0.439,0.0,0.439,,83.63,2.94,86.57,,0.611930709804501,1.08981725173296,0.611930709804501,0.0,90.68,0.0,93.92,0.0,13574.55,269.77,13574.55,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,13666.58,269.77,0.0,,0.0,,0.0,,,,,,,,13666.58,269.77
2019-2020,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0.0,2954.43,0.0,2954.43,0.0,31524.0,0.0,31524.0,215659.81,247183.81,0.0,6570.21,0.0,6570.21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.51,0.0,12.51,0.0,0.0,0.0,0.0,,,,,,,,,0.0,6582.72,0.0,6582.72,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,6582.72,0.0,6582.72,0.0,562.4,0.0,562.4,0.0,6020.32,0.0,6020.32,,300.8178525,,300.8178525,,13.543,,13.543,,13.543,,13.543,,327.87,,327.87,,5.44605602360007,,5.44605602360007,0.0,331.62,0.0,331.62,0.0,5661.64,0.0,5661.64,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,6020.32,0.0,0.0,,0.0,,0.0,,,,,,,,6020.32,0.0
2019-2020,4,ANDHRA PRADESH,Ananthapuramu,529.078209165455,554.376319008325,0.0,550.784455957466,242803.0,1467300.33,0.0,1710103.33,202896.67,1913000.0,8791.07,77069.04,0.0,85860.11,1536.78,,,1536.78,12260.88,1361.65,0.0,13622.53,3032.8,13467.56,0.0,16500.36,1582.86,12972.27,0.0,14555.13,3327.12,50087.628,0.0,53414.748,,,,,,,,,30531.44,154957.6,0.0,185489.04,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,30531.44,154957.6,0.0,185489.04,1526.72,7748.01,0.0,9274.69,29004.72,147209.59,0.0,176214.31,1448.4494439,15503.4450063,,16951.8944502,7.2,589.824,,597.024,11156.52678,101577.3093,,112733.83608,12612.02,117670.28,,130282.3,43.4826469622875,79.9338412667273,,73.9340068351997,1791.26,21476.94,0.0,23268.2,16747.75,61799.47,0.0,78547.22,,,,,,,,,,,,,,4177944.76,0.0,4354159.03,0.0,0.0,,0.0,,0.0,,,,,,,,4354159.03,0.0
2019-2020,5,ANDHRA PRADESH,Chittoor,1188.76657896719,843.772391948731,0.0,861.859775418173,53098.0,959679.85,0.0,1012777.85,137617.15,1150395.0,7057.23,86499.05,0.0,93556.28,461.8,,,461.8,0.0,518.47,0.0,518.47,563.8,10485.9,0.0,11049.7,47.01,606.31,0.0,653.32,716.368,30998.046,0.0,31714.414,,,,,,,,,8846.2,129108.02,0.0,137954.22,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,8846.2,129108.02,0.0,137954.22,442.36,6455.79,0.0,6898.15,8403.84,122652.23,0.0,131056.07,209.7813,5751.335912,,5961.117212,68.4,2800.368,,2868.768,2436.708,67465.6216120482,,69902.3296120482,2714.92,76017.75,,78732.67,32.3057078668799,61.978286085789,,60.075561551632,371.61,9690.17,0.0,10061.78,5545.42,47934.65,0.0,53480.07,,,,,,,,,,,,,,4651035.35,0.0,4782091.43,0.0,0.0,,0.0,,0.0,,,,,,,,4782091.43,0.0
2019-2020,6,ANDHRA PRADESH,East Godavari,1150.05116819395,1209.00978445001,1200.12948807768,1186.14001039923,383586.6598,519951.6023048,139535.07203,1043073.3341348,237444.243308162,1280517.57744296,38964.49,32646.3,17309.98,88920.77,54918.31,,10393.09,65311.4,111189.28,7451.0,29888.04,148528.32,7946.94,1433.91,322.32,9703.17,3368.69,835.5,0.0,4204.19,1475.998,2198.942,484.83,4159.77,,,,,,,,,217863.75,44565.33,58398.2,320827.28,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,217863.75,44565.33,58398.2,320827.28,10893.32,2228.44,2919.98,16041.75,206970.43,42336.89,55478.22,304785.54,2450.199024,1586.7279168,64.4998536,4101.4267944,4206.5916,524.4408,3052.4256,7783.458,32979.11,6179.62,3094.08,42252.81,39635.5,8290.65,6210.86,54137.01,19.1503201689246,19.5825673543805,11.195132071649,19.2237235553292,2855.92,1849.14,0.0,4780.25,168348.6,34898.0,50051.44,203246.6,,,,,,,,,,,,,,0.0,0.0,249307.32,55478.22,0.0,,0.0,,0.0,,,,,,,,249307.32,55478.22
2019-2020,7,ANDHRA PRADESH,Guntur,832.161508945193,760.935457534953,909.317316126236,835.059737613108,653894.4559,182136.2074,207330.3758,1043361.04,95745.4301,1139106.4701,43472.14,8119.73,11849.01,63440.88,10726.94,,552.73,11279.67,96407.0839246594,1838.37373716199,7715.00887639417,105960.55,8003.24,1058.19,17.22,9078.65,1380.89,159.64,164.21,1704.74,6592.056,191.708,1037.104,7820.868,,,,,,,,,166582.52,11367.68,21335.4,199285.6,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,166582.52,11367.68,21335.4,199285.6,8329.17,568.43,1066.79,9964.35,158253.35,10799.25,20268.61,189321.21,9829.08262,1121.61965,811.9242675,11762.6265375,164.396,134.1375,0.0,298.5335,34445.537648124,7308.265,208.328,41962.130648124,44438.9,8564.1,1020.2,54023.18,28.080858951801,79.3027293562053,5.03339893559549,31.3529516848602,13362.42,1549.19,0.0,15899.09,114498.78,4983.76,20070.26,119482.54,,,,,,,,,,,,,,2040741.52,672176.33,2209794.11,692444.94,0.0,,0.0,,0.0,,,,,,,,2209794.11,692444.94
2019-2020,8,ANDHRA PRADESH,Krishna,1030.68272332807,1014.7917950213,1039.22198484674,1032.22152188291,526143.0,61743.0,269381.0,857267.0,15433.0,872700.0,51111.15,6429.94,25424.51,82965.6,39853.95,,0.0,39853.95,144138.87,1846.91,59273.27,205259.05,15395.38,594.97,0.0,15990.35,1067.45,313.95,0.0,1381.4,6862.314,2937.656,0.0,9799.97,,,,,,,,,258428.97,12123.32,84697.78,355250.07,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,258428.97,12123.32,84697.78,355250.07,12921.67,606.24,4234.9,17762.76,245507.3,11517.08,80462.88,337487.26,6794.815566,601.265166,0.0,7396.080732,2502.9,316.8,0.0,2819.7,57513.076923772,4955.59362218582,0.0,62468.6705459579,66810.52,5873.7,0.0,72684.22,27.2132519073771,50.999906226231,0.0,28.2791150006859,7289.67,622.95,0.0,7912.62,180336.69,6063.7,80462.88,186400.39,,,,,,,,,,,,,,0.0,0.0,257024.38,80462.88,0.0,,0.0,,0.0,,,,,,,,257024.38,80462.88
2019-2020,9,ANDHRA PRADESH,Kurnool,692.360837684682,630.111483935772,0.0,654.348570018455,575109.0,901973.0,0.0,1477082.0,288718.0,1765800.0,26805.8,39381.93,0.0,66187.73,,,,,96860.42,8098.1,0.0,104958.52,4249.19,3495.94,0.0,7745.13,823.27,1231.84,0.0,2055.11,628.738,1408.504,0.0,2037.242,,,,,,,,,129367.61,53616.6,0.0,182984.21,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,129367.61,53616.6,0.0,182984.21,6468.69,2680.78,0.0,9149.45,122898.92,50935.82,0.0,173834.74,480.708,452.2896,,932.9976,61.5,112.2,,173.7,17164.165,16933.9515,,34098.1165,17705.71,17497.99,,35203.7,14.4067254618674,34.3530152258273,,20.2512455220401,480.99,452.4,0.0,933.39,105862.46,35181.68,0.0,141044.14,,,,,,,,,,,,,,0.0,0.0,173834.74,0.0,0.0,,0.0,,0.0,,,,,,,,173834.74,0.0
2019-2020,10,ANDHRA PRADESH,Prakasam,864.986546971751,844.348161228177,819.487576285963,850.544444338581,474317.0,967548.0,27528.0,1469393.0,293144.0,1762537.0,32378.86,58469.44,1790.89,92639.19,1686.48,,47.27,1733.75,6017.33,3176.76,4923.57,14117.66,1484.31,3276.28,0.0,4760.59,1425.1,4901.34,173.74,6500.18,6870.912,13565.244,118.376,20554.532,,,,,,,,,49862.81,83389.05,7053.87,140305.73,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,49862.81,83389.05,7053.87,140305.73,2493.4,4169.86,352.73,7015.96,47369.41,79219.19,6701.14,133289.74,804.3485677,1028.7488113,116.6227524,1949.7201314,251.4,61.74,0.0,313.14,10638.427925942,28401.3711244059,0.0,39039.7990503479,11694.65,29491.23,116.61,41302.49,24.6881901210085,37.2273813958461,1.74015167568503,32.5352203910937,4513.08,5646.72,0.0,10307.36,33772.9,52135.14,6701.15,85908.04,,,,,,,,,,,,,,5802613.32,33739.99,5929201.75,40441.14,0.0,,0.0,,0.0,,,,,,,,5929201.75,40441.14
